epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,287.218,0.81924,2.91524,0.98842,0.85485,0.85769,0.92228,0.77796,0.60657,1.55934,0.84272,0.00165845,0.000552817,0.00165845,0.000552817,0.00165845,0.000552817,0.00165845,0.000552817
2,545.148,0.68774,1.25862,0.92245,0.98878,0.95218,0.98865,0.83541,0.58418,1.00265,0.85574,0.00329253,0.00109751,0.00329253,0.00109751,0.00329253,0.00109751,0.00329253,0.00109751
3,807.825,0.67343,0.9967,0.9174,0.98718,0.9536,0.98562,0.84318,0.55569,0.89757,0.85337,0.0048936,0.0016312,0.0048936,0.0016312,0.0048936,0.0016312,0.0048936,0.0016312
4,1067.21,0.65406,0.85938,0.92026,0.98428,0.94019,0.9734,0.81902,0.58365,0.85017,0.87645,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,1322.39,0.65306,0.76655,0.92113,0.99376,0.97282,0.99105,0.84912,0.55012,0.67172,0.86996,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,1588.43,0.6366,0.68677,0.9177,0.98962,0.98282,0.99247,0.86505,0.52355,0.58172,0.87468,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,1850.7,0.6266,0.62013,0.91427,0.99492,0.95221,0.98639,0.85032,0.54358,0.59034,0.88403,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,2110.25,0.60689,0.5678,0.91058,0.98741,0.98127,0.99363,0.85972,0.53345,0.52208,0.8753,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,2364.75,0.59413,0.5369,0.91415,0.99362,0.98039,0.99359,0.85169,0.54158,0.46601,0.88131,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,2620.3,0.59508,0.51339,0.91568,0.979,0.97059,0.98858,0.86234,0.53943,0.46958,0.8927,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
