epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.2925,0.82408,2.93948,0.99228,0.82374,0.85245,0.90962,0.76511,0.58571,1.14498,0.83835,0.00165845,0.000552817,0.00165845,0.000552817,0.00165845,0.000552817,0.00165845,0.000552817
2,42.4364,0.68397,1.22956,0.92238,0.99704,0.9503,0.98552,0.84297,0.56339,0.66791,0.85089,0.00330899,0.001103,0.00330899,0.001103,0.00330899,0.001103,0.00330899,0.001103
3,57.9879,0.66402,0.98411,0.92091,0.99306,0.95098,0.99134,0.85188,0.5613,0.59486,0.86204,0.00494303,0.00164768,0.00494303,0.00164768,0.00494303,0.00164768,0.00494303,0.00164768
4,72.5954,0.64711,0.83975,0.92259,0.98546,0.95816,0.9825,0.84362,0.5578,0.57348,0.86565,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225
5,87.3662,0.64075,0.74651,0.91934,0.97592,0.95639,0.98766,0.85219,0.5375,0.56726,0.89131,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399
6,101.861,0.6231,0.67278,0.9185,0.98462,0.98004,0.99187,0.86142,0.52419,0.46335,0.87162,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
7,116.658,0.61696,0.62541,0.91672,0.99719,0.98029,0.99251,0.85747,0.50987,0.38301,0.87244,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
8,131.181,0.60702,0.57589,0.90911,0.99541,0.97811,0.99256,0.85882,0.5395,0.3487,0.8837,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924
9,145.972,0.61029,0.53812,0.91418,0.99517,0.98513,0.99263,0.8593,0.5224,0.3217,0.86962,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
10,160.711,0.59183,0.50785,0.9128,0.99021,0.98534,0.99269,0.85413,0.53078,0.31607,0.88389,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274
11,175.383,0.59638,0.5044,0.91067,0.98347,0.98887,0.99241,0.87012,0.50724,0.30748,0.86935,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
12,190.033,0.57599,0.46514,0.90082,0.99045,0.98841,0.99471,0.86391,0.52753,0.30337,0.8822,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623
13,204.637,0.5756,0.4486,0.90021,0.98666,0.97689,0.9935,0.86326,0.53481,0.30165,0.8913,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
